SPRINT NO,ISSUEID,ISSUE TYPE,STATE,RELATES TO,ESTIMATED TIME,START DATE,END DATE,COMPLETE DATE,DAY1 EstimatedTime,DAY1 SpentTime,DAY2 EstimatedTime,DAY2 SpentTime,DAY3 EstimatedTime,DAY3 SpentTime,DAY4 EstimatedTime,DAY4 SpentTime,DAY5 EstimatedTime,DAY5 SpentTime,DAY6 EstimatedTime,DAY6 SpentTime,DAY7 EstimatedTime,DAY7 SpentTime,DAY8 EstimatedTime,DAY8 SpentTime,DAY9 EstimatedTime,DAY9 SpentTime,DAY10 EstimatedTime,DAY10 SpentTime,DAY11 EstimatedTime,DAY11 SpentTime,DAY12 EstimatedTime,DAY12 SpentTime,DAY13 EstimatedTime,DAY13 SpentTime,DAY14 EstimatedTime,DAY14 SpentTime,DAY15 EstimatedTime,DAY15 SpentTime,DAY16 EstimatedTime,DAY16 SpentTime,DAY17 EstimatedTime,DAY17 SpentTime,DAY18 EstimatedTime,DAY18 SpentTime,DAY19 EstimatedTime,DAY19 SpentTime,DAY20 EstimatedTime,DAY20 SpentTime,DAY21 EstimatedTime,DAY21 SpentTime,DAY22 EstimatedTime,DAY22 SpentTime,DAY23 EstimatedTime,DAY23 SpentTime,DAY24 EstimatedTime,DAY24 SpentTime,DAY25 EstimatedTime,DAY25 SpentTime,DAY26 EstimatedTime,DAY26 SpentTime,DAY27 EstimatedTime,DAY27 SpentTime,DAY28 EstimatedTime,DAY28 SpentTime,DAY29 EstimatedTime,DAY29 SpentTime,DAY30 EstimatedTime,DAY30 SpentTime,DAY31 EstimatedTime,DAY31 SpentTime
Sprint 5,,,CLOSED,,,25/May/15 12:11 AM,13/Jun/15 11:11 PM,15/Jun/15 1:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-3,Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-5,Sub-task,,EG-3,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:21600
ToString:64800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-19,Sub-task,,EG-3,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:21600","Field:timespent
FromString:21600
ToString:64800",,,,,"Field:timeestimate
FromString:21600
ToString:0",,,,,,,,,,,,,,,,,,,
,EG-20,Sub-task,,EG-3,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:21600","Field:timespent
FromString:21600
ToString:64800",,,,,"Field:timeestimate
FromString:21600
ToString:0",,,,,,,,,,,,,,,,,,,
,EG-21,Sub-task,,EG-3,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:21600","Field:timespent
FromString:21600
ToString:64800",,,,,"Field:timeestimate
FromString:21600
ToString:0",,,,,,,,,,,,,,,,,,,
,EG-27,Sub-task,,EG-3,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:21600
ToString:0",,,,,,,,,,,,,,,,,,,
,EG-4,Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-7,Sub-task,,EG-4,18Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:21600
ToString:0",,,,,,,,,,,,,,,,,,,
,EG-8,Sub-task,,EG-4,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:21600
ToString:0",,,,,,,,,,,,,,,,,,,
,EG-9,Sub-task,,EG-4,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,,,,,,
,EG-14,Sub-task,,EG-4,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,,,,,,
,EG-15,Sub-task,,EG-4,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,,,,,,
,EG-25,Sub-task,,EG-4,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,,,,,,
,EG-26,Sub-task,,EG-4,10Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800","Field:timespent
FromString:43200
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:36000
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,,,,,,,,,,,,
Sprint 7,,,CLOSED,,,06/Jul/15 2:59 AM,24/Jul/15 11:07 PM,28/Jul/15 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-39,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-40,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-41,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-42,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-43,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-44,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-45,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-46,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-47,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-48,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-49,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-50,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-51,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-52,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-53,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-54,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-55,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-56,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-57,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-58,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-59,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-60,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-61,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-62,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-63,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-64,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-65,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-66,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-67,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-68,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-69,Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint 6,,,CLOSED,,,15/Jun/15 1:54 AM,03/Jul/15 11:54 PM,28/Jul/15 2:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-32,Story,,,18Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-33,Story,,,6Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-34,Story,,,36Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-37,Sub-task,,EG-34,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:36000
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,,,,,,,,,,,,
,EG-35,Story,,,18Hours,,,,,,,,,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:43200","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-36,Story,,,24Hours,,,,,,,,,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:43200","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-6,Sub-task,,EG-36,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:36000
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,,,,,,,,,,,,
,EG-31,Story,,,30Hours,,,,,,,,,,"Field:timeestimate
FromString:108000
ToString:43200","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:64800
ToString:194400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint 11,,,CLOSED,,,19/Oct/15 3:50 AM,06/Nov/15 11:50 PM,13/Nov/15 1:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-108,Story,,,60Hours,,,,,,,,,,"Field:timeestimate
FromString:108000
ToString:43200","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:64800
ToString:194400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-124,Sub-task,,EG-108,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,,,,,,,,,,,,
,EG-125,Sub-task,,EG-108,30Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,"Field:timeoriginalestimate
FromString:43200
ToString:108000","Field:timespent
FromString:None
ToString:108000",,,,,,,,,,
,EG-126,Sub-task,,EG-108,60Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,"Field:timeestimate
FromString:216000
ToString:0","Field:timespent
FromString:None
ToString:216000",,,,,,,,,,
,EG-127,Sub-task,,EG-108,18Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,"Field:timeestimate
FromString:216000
ToString:0","Field:timespent
FromString:None
ToString:216000",,,,,,,,,,
,EG-109,Story,,,18Hours,,,,,,,,,,"Field:timeestimate
FromString:108000
ToString:43200","Field:timespent
FromString:None
ToString:64800",,,,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:64800
ToString:194400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-110,Sub-task,,EG-109,6Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,"Field:timeestimate
FromString:216000
ToString:0","Field:timespent
FromString:None
ToString:216000",,,,,,,,,,
,EG-111,Sub-task,,EG-109,12Hours,,,,,,,"Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,"Field:timeestimate
FromString:21600
ToString:0","Field:timespent
FromString:None
ToString:21600",,,,,,,,,,,,,,,"Field:timeestimate
FromString:64800
ToString:0","Field:timespent
FromString:None
ToString:64800",,,,,"Field:timeestimate
FromString:43200
ToString:0","Field:timespent
FromString:None
ToString:43200",,,,,,,"Field:timeestimate
FromString:216000
ToString:0","Field:timespent
FromString:None
ToString:216000",,,,,,,,,,
